Volatility 3 Framework 2.28.2

PID	Process	Args

4	System	-
92	Registry	-
324	smss.exe	\SystemRoot\System32\smss.exe
424	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
508	wininit.exe	wininit.exe
528	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
608	winlogon.exe	winlogon.exe
652	services.exe	C:\Windows\system32\services.exe
672	lsass.exe	C:\Windows\system32\lsass.exe
772	svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p
808	fontdrvhost.ex	"fontdrvhost.exe"
800	fontdrvhost.ex	"fontdrvhost.exe"
892	svchost.exe	C:\Windows\system32\svchost.exe -k RPCSS -p
944	svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p -s LSM
1020	svchost.exe	-
372	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService
448	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
504	dwm.exe	"dwm.exe"
1088	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog
1124	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule
1160	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s ProfSvc
1180	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s nsi
1192	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p
1252	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp
1344	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s UserManager
1412	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p
1464	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s EventSystem
1480	svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain
1496	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs -p -s Themes
1528	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc
1608	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s NlaSvc
1684	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s SENS
1700	MemCompression	-
1744	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder
1776	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s FontCache
1884	svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s netprofm
1920	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
1972	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p -s Dnscache
1980	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
2004	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p
1592	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs -p -s ShellHWDetection
2092	svchost.exe	C:\Windows\system32\svchost.exe -k appmodel -p -s StateRepository
2112	spoolsv.exe	C:\Windows\System32\spoolsv.exe
2152	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p
2228	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation
2264	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s WinHttpAutoProxySvc
2448	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -s RmSvc
2644	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p -s CryptSvc
2652	svchost.exe	C:\Windows\System32\svchost.exe -k utcsvc -p
2664	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p -s DPS
2672	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s Winmgmt
2732	MpDefenderCore	"C:\ProgramData\Microsoft\Windows Defender\platform\4.18.26080.3-0\MpDefenderCoreService.exe"
2756	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s LanmanServer
2796	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s SstpSvc
2820	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TrkWks
2828	VGAuthService.	"C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe"
2852	vm3dservice.ex	"C:\Program Files\VMware\VMware Tools\vm3dservice.exe"
2904	MsMpEng.exe	"C:\ProgramData\Microsoft\Windows Defender\platform\4.18.26080.3-0\MsMpEng.exe"
2948	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s WpnService
2980	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s WdiSystemHost
2988	svchost.exe	C:\Windows\System32\svchost.exe -k NetSvcs -p -s iphlpsvc
3088	vm3dservice.ex	"C:\Program Files\VMware\VMware Tools\vm3dservice.exe" -n
3200	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs
3260	svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s WdiServiceHost
3560	svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc
3568	dllhost.exe	C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}
3804	msdtc.exe	C:\Windows\System32\msdtc.exe
3964	SearchIndexer.	C:\Windows\system32\SearchIndexer.exe /Embedding
3992	WmiPrvSE.exe	C:\Windows\system32\wbem\wmiprvse.exe
4028	dllhost.exe	C:\Windows\system32\DllHost.exe /Processid:{3EB3C877-1F16-487C-9050-104DBCD66683}
4428	AggregatorHost	AggregatorHost.exe
4904	svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s LicenseManager
4992	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s TokenBroker
3768	NisSrv.exe	"C:\ProgramData\Microsoft\Windows Defender\platform\4.18.26080.3-0\NisSrv.exe"
4252	DefenderSessio	"C:\ProgramData\Microsoft\Windows Defender\platform\4.18.26080.3-0\DefenderSessionHelper.exe"
4324	sihost.exe	sihost.exe
4404	svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc
4460	svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService
4492	taskhostw.exe	taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}
4688	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TabletInputService
2344	ctfmon.exe	"ctfmon.exe"
4216	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s CDPSvc
4360	userinit.exe	-
5216	svchost.exe	C:\Windows\system32\svchost.exe -k appmodel -p -s camsvc
5792	svchost.exe	C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc
5416	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
5432	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s UsoSvc
6324	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
7020	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s lfsvc
5864	dllhost.exe	C:\Windows\system32\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}
7348	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
7424	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p -s SSDPSRV
7692	SecurityHealth	"C:\Windows\System32\SecurityHealthSystray.exe" 
7724	SecurityHealth	C:\Windows\system32\SecurityHealthService.exe
7800	vmtoolsd.exe	"C:\Program Files\VMware\VMware Tools\vmtoolsd.exe" -n vmusr
7856	OneDrive.exe	"C:\Users\Patrick\AppData\Local\Microsoft\OneDrive\OneDrive.exe" /background
