Volatility 3 Framework 2.28.2

PID	Process	Base	Size	Name	Path	LoadCount	LoadTime	File output

1260	explorer.exe	0x7ff691560000	0x5c9000	explorer.exe	C:\Windows\explorer.exe	-1	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa52810000	0x1f8000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	-1	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa508d0000	0xc2000	KERNEL32.DLL	C:\Windows\System32\KERNEL32.DLL	-1	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa50120000	0x2f6000	KERNELBASE.dll	C:\Windows\System32\KERNELBASE.dll	-1	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa50730000	0x9d000	msvcp_win.dll	C:\Windows\System32\msvcp_win.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa4fea0000	0x100000	ucrtbase.dll	C:\Windows\System32\ucrtbase.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa51440000	0x354000	combase.dll	C:\Windows\System32\combase.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa51300000	0x120000	RPCRT4.dll	C:\Windows\System32\RPCRT4.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa50c60000	0xcd000	OLEAUT32.dll	C:\Windows\System32\OLEAUT32.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa50a00000	0xad000	shcore.dll	C:\Windows\System32\shcore.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa50e60000	0x9e000	msvcrt.dll	C:\Windows\System32\msvcrt.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa52710000	0xb1000	advapi32.dll	C:\Windows\System32\advapi32.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa517a0000	0x9f000	sechost.dll	C:\Windows\System32\sechost.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa3a920000	0xa6000	AEPIC.dll	C:\Windows\SYSTEM32\AEPIC.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa507d0000	0x27000	bcrypt.dll	C:\Windows\System32\bcrypt.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa50ff0000	0x5b000	shlwapi.dll	C:\Windows\System32\shlwapi.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa520f0000	0x1a1000	user32.dll	C:\Windows\System32\user32.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa50800000	0x22000	win32u.dll	C:\Windows\System32\win32u.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa512d0000	0x2b000	GDI32.dll	C:\Windows\System32\GDI32.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa50580000	0x119000	gdi32full.dll	C:\Windows\System32\gdi32full.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa518a0000	0x770000	SHELL32.dll	C:\Windows\System32\SHELL32.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa4fd90000	0x2e000	USERENV.dll	C:\Windows\SYSTEM32\USERENV.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa4f230000	0x3b000	IPHLPAPI.DLL	C:\Windows\SYSTEM32\IPHLPAPI.DLL	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa4fd00000	0x4b000	powrprof.dll	C:\Windows\SYSTEM32\powrprof.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa4f0c0000	0x33000	ntmarta.dll	C:\Windows\SYSTEM32\ntmarta.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa4f740000	0x18000	cryptsp.dll	C:\Windows\SYSTEM32\cryptsp.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa4df30000	0x7a5000	windows.storage.dll	C:\Windows\SYSTEM32\windows.storage.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa4e720000	0xf6000	dxgi.dll	C:\Windows\SYSTEM32\dxgi.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa4dd30000	0x12000	kernel.appcore.dll	C:\Windows\SYSTEM32\kernel.appcore.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa4d170000	0xf2000	CoreMessaging.dll	C:\Windows\SYSTEM32\CoreMessaging.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa4b720000	0xf4000	PROPSYS.dll	C:\Windows\SYSTEM32\PROPSYS.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa51050000	0x6b000	WS2_32.dll	C:\Windows\System32\WS2_32.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa45260000	0x1f2000	urlmon.dll	C:\Windows\SYSTEM32\urlmon.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
1260	explorer.exe	0x7ffa4b8c0000	0x14000	WTSAPI32.dll	C:\Windows\SYSTEM32\WTSAPI32.dll	6	2026-09-15 18:43:36.000000 UTC	Disabled
