Volatility 3 Framework 2.28.2

PID	Process	Base	Size	Name	Path	LoadCount	LoadTime	File output

2948	svchost.exe	0x7ff6a4e60000	0x11000	svchost.exe	C:\Windows\system32\svchost.exe	-1	2026-09-15 17:41:55.000000 UTC	Disabled
2948	svchost.exe	0x7ffa52810000	0x1f8000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	-1	2026-09-15 17:41:55.000000 UTC	Disabled
2948	svchost.exe	0x7ffa508d0000	0xc2000	KERNEL32.DLL	C:\Windows\System32\KERNEL32.DLL	-1	2026-09-15 17:41:55.000000 UTC	Disabled
2948	svchost.exe	0x7ffa50120000	0x2f6000	KERNELBASE.dll	C:\Windows\System32\KERNELBASE.dll	-1	2026-09-15 17:41:55.000000 UTC	Disabled
2948	svchost.exe	0x7ffa517a0000	0x9f000	sechost.dll	C:\Windows\System32\sechost.dll	6	2026-09-15 17:41:55.000000 UTC	Disabled
2948	svchost.exe	0x7ffa51300000	0x120000	RPCRT4.dll	C:\Windows\System32\RPCRT4.dll	6	2026-09-15 17:41:55.000000 UTC	Disabled
2948	svchost.exe	0x7ffa507d0000	0x27000	bcrypt.dll	C:\Windows\System32\bcrypt.dll	6	2026-09-15 17:41:55.000000 UTC	Disabled
2948	svchost.exe	0x7ffa4fea0000	0x100000	ucrtbase.dll	C:\Windows\System32\ucrtbase.dll	6	2026-09-15 17:41:55.000000 UTC	Disabled
2948	svchost.exe	0x7ffa51440000	0x354000	combase.dll	C:\Windows\System32\combase.dll	6	2026-09-15 17:41:55.000000 UTC	Disabled
2948	svchost.exe	0x7ffa4dd30000	0x12000	kernel.appcore.dll	C:\Windows\SYSTEM32\kernel.appcore.dll	6	2026-09-15 17:41:55.000000 UTC	Disabled
2948	svchost.exe	0x7ffa50e60000	0x9e000	msvcrt.dll	C:\Windows\System32\msvcrt.dll	6	2026-09-15 17:41:55.000000 UTC	Disabled
2948	svchost.exe	0x7ffa506a0000	0x82000	bcryptPrimitives.dll	C:\Windows\System32\bcryptPrimitives.dll	-1	2026-09-15 17:41:55.000000 UTC	Disabled
2948	svchost.exe	0x7ffa520f0000	0x1a1000	user32.dll	C:\Windows\System32\user32.dll	6	2026-09-15 17:41:55.000000 UTC	Disabled
2948	svchost.exe	0x7ffa50800000	0x22000	win32u.dll	C:\Windows\System32\win32u.dll	6	2026-09-15 17:41:55.000000 UTC	Disabled
2948	svchost.exe	0x7ffa512d0000	0x2b000	GDI32.dll	C:\Windows\System32\GDI32.dll	6	2026-09-15 17:41:55.000000 UTC	Disabled
2948	svchost.exe	0x7ffa50580000	0x119000	gdi32full.dll	C:\Windows\System32\gdi32full.dll	6	2026-09-15 17:41:55.000000 UTC	Disabled
2948	svchost.exe	0x7ffa50730000	0x9d000	msvcp_win.dll	C:\Windows\System32\msvcp_win.dll	6	2026-09-15 17:41:55.000000 UTC	Disabled
2948	svchost.exe	0x7ffa40050000	0x41000	wpnservice.dll	c:\windows\system32\wpnservice.dll	6	2026-09-15 17:41:56.000000 UTC	Disabled
