Volatility 3 Framework 2.28.2

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name

1260	explorer.exe	0xe38ff6da2b60	0x4	Event	0x1f0003	-
1260	explorer.exe	0xe38ff6da2c60	0x8	Event	0x1f0003	-
1260	explorer.exe	0xe38ffe197a50	0xc	WaitCompletionPacket	0x1	-
1260	explorer.exe	0xe38ff6c68f80	0x10	IoCompletion	0x1f0003	-
1260	explorer.exe	0xe38ff8c09d80	0x14	TpWorkerFactory	0xf00ff	-
1260	explorer.exe	0xe38ff8b9c850	0x18	IRTimer	0x100002	-
1260	explorer.exe	0xe38ffe1984e0	0x1c	WaitCompletionPacket	0x1	-
1260	explorer.exe	0xe38ff8b9f0b0	0x20	IRTimer	0x100002	-
1260	explorer.exe	0xe38ffe198ea0	0x24	WaitCompletionPacket	0x1	-
1260	explorer.exe	0xe38ff6c694a0	0x28	EtwRegistration	0x804	-
1260	explorer.exe	0xe38ff6c67980	0x2c	EtwRegistration	0x804	-
1260	explorer.exe	0xe38ff6c67de0	0x30	EtwRegistration	0x804	-
1260	explorer.exe	0xaa0f78cd7a20	0x34	Directory	0x3	KnownDlls
1260	explorer.exe	0xe38ff6da2ce0	0x38	Event	0x1f0003	-
1260	explorer.exe	0xe38ff6da2d60	0x3c	Event	0x1f0003	-
1260	explorer.exe	0xe38ffb664200	0x40	File	0x100020	\Device\HarddiskVolume3\Windows\System32
1260	explorer.exe	0xe38ff6c68be0	0x44	EtwRegistration	0x804	-
1260	explorer.exe	0xe38ffaa5b110	0x48	Mutant	0x1f0001	SM0:1260:304:WilStaging_02
1260	explorer.exe	0xe38ff7b73c50	0x4c	ALPC Port	0x1f0001	-
1260	explorer.exe	0xaa0f7bda4660	0x50	Directory	0xf	BaseNamedObjects
1260	explorer.exe	0xe38ff9b64c50	0x54	Semaphore	0x1f0003	SM0:1260:304:WilStaging_02_p0
1260	explorer.exe	0xe38ff9b64570	0x58	Semaphore	0x1f0003	SM0:1260:304:WilStaging_02_p0h
1260	explorer.exe	0xe38ff6ad17e0	0x5c	Event	0x1f0003	-
1260	explorer.exe	0xe38ffe1991e0	0x60	WaitCompletionPacket	0x1	-
1260	explorer.exe	0xe38ff6c68080	0x64	EtwRegistration	0x804	-
1260	explorer.exe	0xe38ff6c68da0	0x68	EtwRegistration	0x804	-
1260	explorer.exe	0xe38ff6c67ec0	0x6c	EtwRegistration	0x804	-
1260	explorer.exe	0xe38ff7855b00	0x70	IoCompletion	0x1f0003	-
1260	explorer.exe	0xe38ff87ccd80	0x74	TpWorkerFactory	0xf00ff	-
1260	explorer.exe	0xe38ff8b9e500	0x78	IRTimer	0x100002	-
1260	explorer.exe	0xe38ffe198f70	0x7c	WaitCompletionPacket	0x1	-
1260	explorer.exe	0xe38ff8b9f2d0	0x80	IRTimer	0x100002	-
1260	explorer.exe	0xe38ffe1980d0	0x84	WaitCompletionPacket	0x1	-
1260	explorer.exe	0xaa0f9254bc40	0x88	Key	0x20019	USER\S-1-5-21-77607562-1836748022-3122067425-1001_CLASSES\LOCAL SETTINGS\SOFTWARE\MICROSOFT
1260	explorer.exe	0xaa0f9254df50	0x8c	Key	0x20019	MACHINE
1260	explorer.exe	0xaa0f92544980	0x90	Key	0x20019	USER\S-1-5-21-77607562-1836748022-3122067425-1001_CLASSES\LOCAL SETTINGS
1260	explorer.exe	0xaa0f9254e8e0	0x94	Key	0x20019	MACHINE\SOFTWARE\MICROSOFT\OLE
1260	explorer.exe	0xe38ff6ad8460	0x98	Event	0x1f0003	-
1260	explorer.exe	0xaa0f9254db10	0x9c	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\SORTING\VERSIONS
1260	explorer.exe	0xaa0f92997a80	0xa0	Key	0x20019	MACHINE\SOFTWARE\MICROSOFT\MSF\REGISTRATION\LISTEN
1260	explorer.exe	0xe38ff6ada260	0xa4	Event	0x1f0003	-
1260	explorer.exe	0xe38ff786aa30	0xa8	EtwRegistration	0x804	-
1260	explorer.exe	0xe38ff786d7b0	0xac	EtwRegistration	0x804	-
1260	explorer.exe	0xe38ff786c0f0	0xb0	EtwRegistration	0x804	-
1260	explorer.exe	0xe38ff6ada2e0	0xb4	Event	0x1f0003	-
1260	explorer.exe	0xe38ff6ada460	0xb8	Event	0x1f0003	-
1260	explorer.exe	0xe38ff709d5e0	0xbc	Event	0x1f0003	-
1260	explorer.exe	0xe38ff709dc60	0xc0	Event	0x1f0003	-
