Volatility 3 Framework 2.28.2

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path

4	0	System	0xe38ff207a040	122	-	N/A	False	2026-09-15 17:41:52.000000 UTC	N/A	-	-	-
* 1700	4	MemCompression	0xe38ff6bb7040	78	-	N/A	False	2026-09-15 17:41:54.000000 UTC	N/A	MemCompression	-	-
* 92	4	Registry	0xe38ff210a080	4	-	N/A	False	2026-09-15 17:41:47.000000 UTC	N/A	Registry	-	-
* 324	4	smss.exe	0xe38ff514a040	2	-	N/A	False	2026-09-15 17:41:52.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\smss.exe	\SystemRoot\System32\smss.exe	\SystemRoot\System32\smss.exe
424	412	csrss.exe	0xe38ff55a3140	10	-	0	False	2026-09-15 17:41:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	C:\Windows\system32\csrss.exe
508	412	wininit.exe	0xe38ff5fc6080	1	-	0	False	2026-09-15 17:41:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\wininit.exe	wininit.exe	C:\Windows\system32\wininit.exe
* 672	508	lsass.exe	0xe38ff664f080	9	-	0	False	2026-09-15 17:41:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\lsass.exe	C:\Windows\system32\lsass.exe	C:\Windows\system32\lsass.exe
* 800	508	fontdrvhost.ex	0xe38ff66b8140	5	-	0	False	2026-09-15 17:41:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\fontdrvhost.exe	"fontdrvhost.exe"	C:\Windows\system32\fontdrvhost.exe
* 652	508	services.exe	0xe38ff663f080	6	-	0	False	2026-09-15 17:41:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\services.exe	C:\Windows\system32\services.exe	C:\Windows\system32\services.exe
** 1568	652	svchost.exe	0xe38ff899e080	9	-	0	False	2026-09-15 17:43:56.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s DoSvc	C:\Windows\System32\svchost.exe
** 3620	652	svchost.exe	0xe38ff8d49080	8	-	0	False	2026-09-15 17:43:56.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s wscsvc	C:\Windows\System32\svchost.exe
** 2092	652	svchost.exe	0xe38ff6c1d0c0	7	-	0	False	2026-09-15 17:41:54.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k appmodel -p -s StateRepository	C:\Windows\system32\svchost.exe
** 7724	652	SecurityHealth	0xe38ff87e8280	6	-	0	False	2026-09-15 17:42:22.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\SecurityHealthService.exe	C:\Windows\system32\SecurityHealthService.exe	C:\Windows\system32\SecurityHealthService.exe
** 5684	652	svchost.exe	0xe38ffbdd02c0	3	-	0	False	2026-09-16 08:44:27.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s BthAvctpSvc	C:\Windows\system32\svchost.exe
** 1592	652	svchost.exe	0xe38ff2140080	2	-	0	False	2026-09-15 17:41:54.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs -p -s ShellHWDetection	C:\Windows\System32\svchost.exe
** 1088	652	svchost.exe	0xe38ff6858300	8	-	0	False	2026-09-15 17:41:54.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog	C:\Windows\System32\svchost.exe
** 2112	652	spoolsv.exe	0xe38ff6c210c0	7	-	0	False	2026-09-15 17:41:54.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\spoolsv.exe	C:\Windows\System32\spoolsv.exe	C:\Windows\System32\spoolsv.exe
** 1608	652	svchost.exe	0xe38ff6b48300	5	-	0	False	2026-09-15 17:41:54.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s NlaSvc	C:\Windows\System32\svchost.exe
** 4688	652	svchost.exe	0xe38ff7ac8080	3	-	0	False	2026-09-15 17:42:05.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TabletInputService	C:\Windows\System32\svchost.exe
*** 2344	4688	ctfmon.exe	0xe38ff7aeb280	11	-	1	False	2026-09-15 17:42:05.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\ctfmon.exe	"ctfmon.exe"	C:\Windows\system32\ctfmon.exe
** 2644	652	svchost.exe	0xe38ff6ed0300	7	-	0	False	2026-09-15 17:41:55.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p -s CryptSvc	C:\Windows\system32\svchost.exe
** 2652	652	svchost.exe	0xe38ff6eb50c0	10	-	0	False	2026-09-15 17:41:55.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k utcsvc -p	C:\Windows\System32\svchost.exe
*** 4428	2652	AggregatorHost	0xe38ff7736080	5	-	0	False	2026-09-15 17:41:58.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\AggregatorHost.exe	AggregatorHost.exe	C:\Windows\System32\AggregatorHost.exe
** 5216	652	svchost.exe	0xe38ff7be7240	1	-	0	False	2026-09-15 17:42:05.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k appmodel -p -s camsvc	C:\Windows\system32\svchost.exe
** 1124	652	svchost.exe	0xe38ff67e7080	6	-	0	False	2026-09-15 17:41:54.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule	C:\Windows\system32\svchost.exe
*** 9856	1124	MicrosoftEdgeU	0xe38ff88be2c0	4	-	0	True	2026-09-15 17:43:05.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe	"C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe" /c	C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe
*** 6620	1124	taskhostw.exe	0xe38ffcef02c0	4	-	1	False	2026-09-16 08:44:28.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\taskhostw.exe	taskhostw.exe USER	C:\Windows\system32\taskhostw.exe
*** 4492	1124	taskhostw.exe	0xe38ff7ac6300	8	-	1	False	2026-09-15 17:42:05.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\taskhostw.exe	taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}	C:\Windows\system32\taskhostw.exe
** 2152	652	svchost.exe	0xe38ff20a4080	11	-	0	False	2026-09-15 17:41:54.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p	C:\Windows\system32\svchost.exe
** 2664	652	svchost.exe	0xe38ff6ec6080	14	-	0	False	2026-09-15 17:41:55.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p -s DPS	C:\Windows\System32\svchost.exe
** 2672	652	svchost.exe	0xe38ff6f6c080	17	-	0	False	2026-09-15 17:41:55.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s Winmgmt	C:\Windows\system32\svchost.exe
** 4216	652	svchost.exe	0xe38ff7af32c0	9	-	0	False	2026-09-15 17:42:05.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s CDPSvc	C:\Windows\system32\svchost.exe
** 3200	652	svchost.exe	0xe38ff71ca240	11	-	0	False	2026-09-15 17:41:56.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs	C:\Windows\System32\svchost.exe
** 1160	652	svchost.exe	0xe38ff68b6240	2	-	0	False	2026-09-15 17:41:54.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s ProfSvc	C:\Windows\system32\svchost.exe
** 2700	652	svchost.exe	0xe38ff93ed080	1	-	0	False	2026-09-15 17:58:26.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k wusvcs -p -s WaaSMedicSvc	C:\Windows\system32\svchost.exe
** 1684	652	svchost.exe	0xe38ff6bb8240	2	-	0	False	2026-09-15 17:41:54.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s SENS	C:\Windows\system32\svchost.exe
** 10900	652	svchost.exe	0xe38ffdbe9080	4	-	0	False	2026-09-16 12:40:13.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k wsappx -p -s AppXSvc	C:\Windows\system32\svchost.exe
** 1180	652	svchost.exe	0xe38ff6a102c0	3	-	0	False	2026-09-15 17:41:54.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s nsi	C:\Windows\system32\svchost.exe
** 5792	652	svchost.exe	0xe38ff7d58300	12	-	1	False	2026-09-15 17:42:07.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc	C:\Windows\system32\svchost.exe
** 1192	652	svchost.exe	0xe38ff6a11080	2	-	0	False	2026-09-15 17:41:54.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p	C:\Windows\system32\svchost.exe
** 2732	652	MpDefenderCore	0xe38ff6fbc080	12	-	0	False	2026-09-15 17:41:55.000000 UTC	N/A	\Device\HarddiskVolume3\ProgramData\Microsoft\Windows Defender\Platform\4.18.26080.3-0\MpDefenderCoreService.exe	"C:\ProgramData\Microsoft\Windows Defender\platform\4.18.26080.3-0\MpDefenderCoreService.exe"	C:\ProgramData\Microsoft\Windows Defender\platform\4.18.26080.3-0\MpDefenderCoreService.exe
** 10412	652	svchost.exe	0xe38ff81d8080	2	-	0	False	2026-09-16 09:09:42.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s DevQueryBroker	C:\Windows\system32\svchost.exe
